Question,Answer
how many apple store are there in total?,"Apple has 405 stores worldwide, with global sales of billion in merchandise in 2011, and they lead the United States retail market in terms of sales per unit area."
how many asian indians live in usa?,"Indian Americans are citizens of the United States of Indian ancestry and comprise about 3.18 million people, or ~1.0% of the U.S. population, the country's third largest self-reported Asian ancestral group after Chinese Americans and Filipino Americans according to American Community Survey of 2010 data."
how many babies are in a typical raccoon litter?,"After a gestation period of about 65 days, two to five young, known as ""kits"", are born in spring."
how many baseball teams usa?,There is 30 baseball teams: 29 in the United States and one in Canada.
how many books are included in the protestant Bible?,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.
How many consecutive games did Ken Jennings win?,"In 2004, Ken Jennings won 74 Jeopardy!"
how many consoles has xbox 360 sold?,"As of September 30, 2012, 70 million Xbox 360 consoles have been sold worldwide."
how many countries are member of the eu?,The European Union (EU) is an economic and political union of 27 member states that are located primarily in Europe.
how many countries have english as an official language?,"In 2012, there were 88 states in total (60 sovereign states and 28 non-sovereign states)."
how many days are in a leap year?,"For example, in the Gregorian calendar (a common solar calendar), February in a leap year has 29 days instead of the usual 28, so the year lasts 366 days instead of the usual 365."
how many died in hiroshima and nagasaki?,"Within the first two to four months of the bombings, the acute effects killed 90,000–166,000 people in Hiroshima and 60,000–80,000 in Nagasaki, with roughly half of the deaths in each city occurring on the first day."
how many district are in west bengal?,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India."
how many episodes of Lost were there?,"A total of 121 episodes of Lost were produced, the last of which aired on May 23, 2010."
how many games did brett favre start in a row?,"Brett Favre has led teams to eight division championships ( 1995 , 1996 , 1997 , 2002 , 2003 , 2004 , 2007 , 2009 ), five NFC Championship Games ( 1995 , 1996 , 1997 , 2007 , 2009 ), and two Super Bowl appearances ( Super Bowl XXXI , Super Bowl XXXII ), winning one (Super Bowl XXXI)."
how many gold gloves does barry larkin have?,"Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards."
how many grams in a troy ounce of gold?,"There are 12 troy ounces per troy pound, rather than the 16 ounces per pound found in the more common avoirdupois system."
how many grape farms in united states?,"As of the last census of agriculture in 2007, there were 2.2 million farms, covering an area of , an average of per grape farm."
how many humps on a camel?,"The two surviving species of camel are the dromedary , or one-humped camel, which is native to the Middle East and the Horn of Africa ; and the Bactrian , or two-humped camel, which inhabits Central Asia."
how many innings makes an official game?,"Since most professional baseball games are nine innings long, the fifth inning is used as the threshold for an official game."
how many kids does archie manning have?,"Archie Manning is the father of current Denver Broncos quarterback Peyton Manning , current New York Giants starting quarterback Eli Manning , and former Ole Miss receiver Cooper Manning."
how many land rovers have landed on mars?,There have been four successful robotically operated Mars rovers.
how many lungs does a human have?,"Humans have two lungs , a right lung and a left lung."
how many members are in the house of representatives?,The total number of voting representatives in the house of representatives is fixed by law at 435.
how many muscles in the body?,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article."
how many muscles in the human body?,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article."
How many Muslims live in the United Kingdom?,"Today Islam is the second largest religion in the country with results from the United Kingdom Census 2011 suggesting that by 2011 the total Muslim population had reached 2.7 million, 4.8% of the total population."
how many mvps has kobe bryant won?,"Kobe Bryant has won the All-Star MVP Award four times ( 2002 , 2007 , 2009 , and 2011 ), tying him for the most All Star MVP Awards in NBA history."
how many nature oceans are on earth?,"In the context of Earth , it refers to one or all of the major divisions of the planet's World Ocean – they are, in descending order of area, the Pacific , Atlantic , Indian , Southern (Antarctic) , and Arctic Oceans."
how many numbers on a credit card?,An ISO/IEC 7812 credit card number is typically 16 digits in length.
how many pawns in chess?,"In chess, each player begins the game with eight pawns, one on each square of the rank immediately in front of the other pieces."
how many people die from myasthenia gravis per year?,The disease incidence is 3–30 cases per million per year and rising as a result of increased awareness.
how many people live in atlanta georgia?,"Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427."
how many people live in memphis tennessee?,"Memphis had a population of 672,277 in 2011 making it the largest city in the state of Tennessee , the largest city on the Mississippi River , the third largest in the Southeastern United States , and the 20th largest in the United States."
how many people were killed in the holocaust?,"Over one million Jewish children were killed in the Holocaust, as were approximately two million Jewish women and three million Jewish men."
how many people were killed in the oklahoma city bombing?,"The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people."
how many percent is a basis point?,A basis point = 1 permyriad = one one-hundredth percent.
how many planets is jupiter away from the sun?,Jupiter is the fifth planet from the Sun and the largest planet in the Solar System.
how many players on a side for a football game?,"Football is played by two teams, eleven players to a side, who advance an oval ball over a rectangular field that is 120 yards long by 53.3 yards wide and has goalposts at both ends."
how many ports are there in networking?,"In networking, about 250 well-known ports are reserved by convention to identify specific service types on a host."
how many presidents have been assassinated?,"Four sitting presidents have been killed: Abraham Lincoln (the 16th President), James A. Garfield (the 20th President), William McKinley (the 25th President) and John F. Kennedy (the 35th President)."
how many presidents of the us?,"There have been 43 people sworn into the US office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president."
how many qfc stores are there?,"Quality Food Centers (QFC) is a supermarket chain based in Bellevue, Washington , with 64 stores in the Puget Sound region of Washington state and in the Portland, Oregon metropolitan area."
how many redwall books are there?,There have been twenty-two novels and two picture books published.
how many rooms in borgata hotel?,"The $1.1 billion casino hotel features 2,002 rooms and is the largest hotel in New Jersey."
how many seasons does heroes have?,"Four complete seasons of Heroes was aired, ending on February 8, 2010."
how many seasons of grey's anatomy are there?,"On May 11, 2012, the series was renewed for a ninth season, which premiered on September 27, 2012."
how many seasons were there of the wire?,"The Wire premiered on June 2, 2002, and ended on March 9, 2008, comprising 60 episodes over five seasons."
how many spanish speaking people are there in the us?,"According to the 2010 American Community Survey conducted by the U.S. Census Bureau , Spanish is the primary language spoken at home by almost 37 million people aged five or older, a figure more than double that of 1990."
how many stars on the first american flag?,The flag was designed during the American Revolution and features 13 stars to represent the original 13 colonies.
How many states and territories are within India?,India is a federal union of states comprising twenty-eight states and seven union territories.
HOW MANY STRIPES ARE ON THE AMERICAN FLAG?,"The national flag of the United States of America , often simply referred to as the American flag, consists of thirteen equal horizontal stripes of red (top and bottom) alternating with white, with a blue rectangle in the canton (referred to specifically as the ""union"") bearing fifty small, white, five-pointed stars arranged in nine offset horizontal rows of six stars (top and bottom) alternating with rows of five stars."
how many students go to santa barbara?,"The campus is the 6th-largest in the UC system by enrollment with 18,977 undergraduate and 2,950 graduate students."
how many times has a player hit for the cycle?,"Cycles are uncommon in Major League Baseball (MLB), and have occurred 294 times since the first by Curry Foley in 1882."
how many towns in new hampshire?,This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire.
how many US soldiers killed in Iraq war?,"A total of 4,486 U.S. soldiers were killed in Iraq between 2003 and 2012."
how many users do twitter have?,"The service rapidly gained worldwide popularity, with over 500 million registered users as of 2012, generating over 340 million tweets daily and handling over 1.6 billion search queries per day."
how many vehicles are registered in the us?,"Overall, there were an estimated 254.4 million registered passenger vehicles in the United States according to a 2007 DOT study."
how many wives did henry the 8th have?,"Besides his six marriages, Henry VIII is known for his role in the separation of the Church of England from the Roman Catholic Church."
how many world series did curt schilling have?,Curt Schilling helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox.
how much are the harry potter movies worth?,"The harry potter series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion."
how much caffeine is in a shot of espresso?,"Espresso has more caffeine per unit volume than most beverages, but the usual serving size is smaller—a typical 60 mL (2 US fluid ounce ) of espresso has 80 to 150 mg of caffeine, little less than the 95 to 200 mg of a standard 240 mL (8 US fluid ounces ) cup of drip-brewed coffee."
How much did Waterboy grossed?,"The Waterboy movie was extremely profitable, earning $161.5 million in North America alone."
how much did yankee stadium cost?,"Also controversial was the price tag of $1.5 billion, which makes it not only the most expensive baseball stadium ever built, but the second-most expensive stadium of any kind (after MetLife Stadium in East Rutherford, New Jersey )."
how much does a gold bar weigh?,The standard gold bar held as gold reserves by central banks and traded among bullion dealers is the 400-troy-ounce (12.4 kg or 438.9 ounces) Good Delivery gold bar.
how much does U.S. pay on health care per person?,"In 2006, per-capita spending for health care in Canada was US$3,678; in the U.S., US$6,714."
how much does united states spend on health care?,"According to the World Health Organization (WHO), the United States spent more on health care per capita ($7,146), and more on health care as percentage of its GDP (15.2%), than any other nation in 2008."
how much is 1 tablespoon of water?,A tablespoon of water has a capacity of about 15 mL.
HOW MUCH IS CENTAVOS IN MEXICO?,"The peso is subdivided into 100 centavos, represented by "" ¢ ""."
how much is jk rowling worth?,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom."
how much more time does chemo give to people with renal cancer?,"Where the tumor is confined to the renal parenchyma, the 5-year survival rate is 60-70%, but this is lowered considerably where metastases have spread."
how much of earth is covered ocean water?,"Approximately 72% of the planet's surface (~3.6x108 km2) is covered by saline water that is customarily divided into several principal oceans and smaller seas, with the ocean covering approximately 71% of the Earth's surface."
how much of our universe does plasma make up?,"In the universe , plasma is the most common state of matter for ordinary matter , most of which is in the rarefied intergalactic plasma (particularly intracluster medium ) and in stars."
how much total wealth in USA?,"Including human capital such as skills, the United Nations estimated the total wealth of the United States in 2008 to be $118 trillion."
how often do elk have sex?,"Males also engage in ritualized mating behaviors during the rut , including posturing, antler wrestling (sparring), and bugling, a loud series of vocalizations which establishes dominance over other males and attracts females."
how often does ham station need to ID?,"Station identification used to be done regularly by an announcer at the halfway point during the presentation of a television program, or in between programs."
how old a child pedophile crime?,"As a medical diagnosis, pedophilia or paedophilia is a psychiatric disorder in persons 16 years of age or older typically characterized by a primary or exclusive sexual interest toward prepubescent children (generally age 11 years or younger, though specific diagnosis criteria for the disorder extends the cut-off point for prepubescence to age 13)."
how old is beatrice author?,"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades."
"how old is kirk douglas, the actor?","Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author."
how old is the singer bob seger?,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist."
how old old is xp operating system?,"Windows XP was released worldwide for retail sale on October 25, 2001, and over 400 million copies were in use in January 2006."
how old r Dylan and Cole Sprouse?,"Dylan Thomas Sprouse and Cole Mitchell Sprouse (born August 4, 1992) are American actors."
how old was monica lewinsky during the affair?,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996."
how old was sue lyon when she made lolita?,"The actress who played Lolita, Sue Lyon , was fourteen at the time of filming."
how old were the twin towers when destroyed?,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center."
how post and lintels are used?,"Post and lintel, ""prop and lintel"" or ""trabeated"" is a simple construction method using a lintel , header, or architrave as the horizontal member over a building void supported at its ends by two vertical columns , , or."
how south african leaders are elected?,"The President is elected by members of the National Assembly , the lower house of Parliament , and is usually the leader of the largest party, which has been the African National Congress since the first non-racial elections were held on 27 April 1994."
how tennessee became a state?,"Tennessee was the last state to leave the Union and join the Confederacy at the outbreak of the U.S. Civil War in 1861, and the first state to be readmitted to the Union at the end of the war."
how was color introduced in film?,The first color cinematography was by means of additive color systems such as the one patented in England by Edward Raymond Turner in 1899 and tested in 1902.
how was the moon formed?,"The Moon is thought to have formed nearly 4.5 billion years ago, not long after the Earth."
how was the phone invented?,"The invention of the telephone is the culmination of work done by many individuals, the history of which involves a collection of claims and counterclaims."
how was the President George Bush involved in the Gulf War?,"U.S. President George H. W. Bush deployed U.S. forces into Saudi Arabia , and urged other countries to send their own forces to the scene."
How Works Diaphragm Pump?,"A diaphragm pump (also known as a Membrane pump, Air Operated Double Diaphragm Pump (AODD) or Pneumatic Diaphragm Pump) is a positive displacement pump that uses a combination of the reciprocating action of a rubber , thermoplastic or teflon diaphragm and suitable valves either side of the diaphragm ( check valve , butterfly valves, flap valves, or any other form of shut-off valves) to pump a fluid."
the number of electrons in each shell are determined by ?,"Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on."
What a Margarita contains?,"The margarita is a Mexican cocktail consisting of tequila mixed with Cointreau or similar orange -flavoured liqueur and lime or lemon juice , often served with salt on the glass rim."
what affects the money supply?,"There is strong empirical evidence of a direct relation between money-supply growth and long-term price inflation, at least for rapid increases in the amount of money in the economy."
what are a and r reps?,Artists and repertoire (A&R) is the division of a record label or music publishing company that is responsible for talent scouting and overseeing the artistic development of recording artists and/or songwriters.
what are anti inflammatories?,Anti-inflammatory refers to the property of a substance or treatment that reduces inflammation.
what are arizona's symbols?,The newest adopted symbol of Arizona is the Colt Single Action Army in 2011.
what are banana plugs for?,"A banana connector (commonly banana plug for the male , banana socket or banana jack for the female ) is a single- wire (one conductor ) electrical connector used for joining wires to equipment."
what are batteries made up of?,"Automotive SLI batteries are usually lead-acid type, and are made of six galvanic cells in series to provide a 12 volt system."
what are circumpolar constellations?,"In astronomy, the circumpolar constellations are constellations that never set from the viewer's perspective."
what are club seats?,"They are usually right next to the Luxury Boxes , either right above, right below, or sandwiched between two levels of Luxury Boxes."
What are context effects of memory?,Context-dependent memory refers to improved recall of specific episodes or information when the context present at encoding and retrieval are the same.
what are corporation balance?,"A balance sheet is often described as a ""snapshot of a company's financial condition""."
what are d.o. of medicine?,Doctor of Osteopathic Medicine (D.O. or DO) is a professional doctoral degree for physicians offered by medical schools in the United States.
what are dialysis tubes?,Dialysis tubing is a type of semi- or partially permeable membrane tubing made from regenerated cellulose or cellophane.
what are four thirds cameras?,The Four Thirds system is a standard created by Olympus and Kodak for digital single-lens reflex camera (DSLR) design and development.
what are garnishments?,"A garnishment is a means of collecting a monetary judgment against a defendant by ordering a third party (the garnishee) to pay money, otherwise owed to the defendant , directly to the plaintiff."
what are grits made from?,Modern grits are commonly made of alkali-treated corn known as hominy.
WHAT ARE HERITABLE TRAITS?,heritability of a trait within a population is the proportion of observable differences in a trait between individuals within a population that is due to genetic differences.
what are k-cups?,"K-Cup portion packs are used with Keurig or other single cup brewing systems to brew a cup of coffee , tea , or hot chocolate."
what are land parcels?,land parcels are a piece of land.
what are layers of the ionosphere?,"The ionosphere is a region of the upper atmosphere , from about to altitude, and includes the thermosphere and parts of the mesosphere and exosphere."
what are loan originations?,"Loan origination is the process by which a borrower applies for a new loan , and a lender processes that application."
what are lobbying groups?,"Lobbying (also lobby) is the act of attempting to influence decisions made by officials in the government , most often legislators or members of regulatory agencies."
what are metaphors used for?,"A metaphor is a figure of speech that describes a subject by asserting that it is, on some point of comparison, the same as another otherwise unrelated object."
What Are Mnemonic Devices?,"A mnemonic (, with a silent ""m""), or mnemonic device, is any learning technique that aids information retention."
what are points on a mortgage?,"Points, sometimes also called a ""discount point"", are a form of pre-paid interest."
what are private labels?,Private label products or services are typically those manufactured or provided by one company for offer under another company's brand.
What are procedure codes terms in coding?,Procedure codes are numbers or alphanumeric codes used to identify specific health interventions taken by medical professionals.
what are risk for infections?,"Risk of infection is a nursing diagnosis which is defined as ""the state in which an individual is at risk to be invaded by an opportunistic or pathogenic agent ( virus , fungus , bacteria , protozoa , or other parasite ) from endogenous or exogenous sources"" and was approved by NANDA in 1986."
what are rocker arms?,"Generally referred to within the context of the internal combustion engine of automotive, marine, motorcycle and reciprocating aviation engines, the rocker arm is an oscillating lever that conveys radial movement from the cam lobe into linear movement at the poppet valve to open it."
what are SATA Power Connector?,Serial ATA (SATA) is a computer bus interface that connects host bus adapters to mass storage devices such as hard disk drives and optical drives.
what are SLR cameras?,"A single-lens reflex (SLR) camera is a camera that typically uses a mirror and prism system (hence ""reflex"", from the mirror's reflection) that permits the photographer to view through the lens and see exactly what will be captured, contrary to viewfinder cameras where the image could be significantly different from what will be captured."
what are social security taxes?,"Tax deposits are formally entrusted to the Federal Old-Age and Survivors Insurance Trust Fund, the Federal Disability Insurance Trust Fund, the Federal Hospital Insurance Trust Fund, or the Federal Supplementary Medical Insurance Trust Fund which comprise the Social Security Trust Fund."
what are some chinese inventions?,"China has been the source of many inventions , including the Four Great Inventions : papermaking , the compass , gunpowder , and printing (both woodblock and movable type )."
what are some legal uses of meth?,"Although rarely prescribed, methamphetamine hydrochloride, or meth, is approved by the U.S. Food and Drug Administration (FDA) for the treatment of attention deficit hyperactivity disorder and obesity under the trade name Desoxyn."
what are spoilers for?,Some spoilers are added to cars primarily for styling purposes and have either little aerodynamic benefit or even make the aerodynamics worse.
what are square diamonds called?,The face-up shape of the princess cut is square or rectangular and the profile or side-on shape is similar to that of an inverted pyramid with four beveled sides.
what are stanzas in poetry?,"In poetry, a stanza is a unit within a larger poem."
what are stink bombs made of?,"One is ""US Government Standard Bathroom Malodor""; a mixture of eight chemicals with a stench resembling human feces, only much stronger, designed to test the efficacy of deodorizers and air fresheners."
what are stocks and bonds?,"In finance , a bond is an instrument of indebtedness of the bond issuer to the holders."
what are superannuation contributions?,Superannuation in Australia refers to the arrangements which people make in Australia to have funds available for them in retirement.
what are the 7 continents?,"They are generally identified by convention rather than any strict criteria, with up to seven regions commonly regarded as continents—they are (from largest in size to smallest): Asia , Africa , North America , South America , Antarctica , Europe , and Australia."
what are the arb medications?,"Angiotensin receptor blocker (arb), a medication for treating high blood pressure."
what are the boundaries of the pelvic outlet?,The lower circumference of the lesser pelvis is very irregular; the space enclosed by it is named the inferior aperture or pelvic outlet.
What are the busiest airports in the world?,"The definition of the world's busiest airport has been specified by the Airports Council International in Geneva, Switzerland."
what are the catholic gifts of the holy spirit?,"The seven gifts of the Holy Spirit is an enumeration of seven spiritual gifts originating with patristic authors, later elaborated by five intellectual virtues and four other groups of ethical characteristics."
what are the characteristics of an ethnic group?,Ethnicity or ethnic group is a socially defined category based on common culture or nationality.
what are the characteristics of bryophytes?,"Some bryophytes do have specialized tissues for the transport of water; however since these do not contain lignin , they are not considered to be true vascular tissue."
what are the charges against Casey Anthony?,Casey Anthony was charged with first degree murder in October 2008 and pled not guilty.
What are the different translations for the Bible?,"The Bible has been translated into many languages from the biblical languages of Hebrew , Aramaic and Greek."
what are the different types of cross country skiing?,"Cross-country skiing is part of the Nordic skiing sport family, which includes ski jumping , Nordic combined (cross-country skiing and ski jumping), Biathlon (skiing and rifle marksmanship ) and ski-orienteering (which includes map navigation along snow trails and tracks)."
what are the houses of hogwarts?,"Hogwarts School of Witchcraft and Wizardry, shortened Hogwarts, is a fictional British school of magic for students aged eleven to eighteen, and is the primary setting for the first six books in J.K. Rowling 's Harry Potter series."
What are the lateral and median apertures of the brain?,"It is an opening in each lateral extremity of the lateral recess of the fourth ventricle of the human brain , which also has a single median aperture."
what are the most known sports in america?,"Four of the nation's five most popular team sports were developed in North America: American football , baseball , basketball and ice hockey , whereas soccer was developed in England."
what are the names of the ll divos?,"Il Divo is a group of four male singers: French pop singer Sébastien Izambard , Spanish baritone Carlos Marín , American tenor David Miller , and Swiss tenor Urs Bühler."
what are the official languages of nigeria?,"The official language of Nigeria, English , the former colonial language, was chosen to facilitate the cultural and linguistic unity of the country."
what are the parts of plant stems?,"The stem is normally divided into nodes and internodes, the nodes hold buds which grow into one or more leaves , inflorescence (flowers), conifer cones , roots , other stems etc."
what are the players in Quidditch?,"Matches are played between two teams of seven players riding flying broomsticks, using four balls and six elevated ring-shaped goals, three on each side of the Quidditch pitch (field)."
what are the quad muscles?,"Quad muscles are the great extensor muscle of the knee, forming a large fleshy mass which covers the front and sides of the femur."
what are the side effects for lyme disease?,"Early symptoms may include fever , headache , fatigue , depression , and a characteristic circular skin rash called erythema migrans (EM)."
what are the sulfas?,The original antibacterial sulfonamides (sometimes called sulfa drugs or sulpha drugs) are synthetic antimicrobial agents that contain the sulfonamide group.
what are the three ossicles?,"The ossicles (also called auditory ossicles) are the three smallest bones in the human body, the malleus , the incus and the stapes."
